CPT,Modifier1,Modifier2,POS,Fee,Effective,Terminate
90371,,,,137.581,10/1/2023,12/31/2023
90375,,,,277.744,10/1/2023,12/31/2023
90376,,,,170.900,10/1/2023,12/31/2023
90377,,,,250.491,10/1/2023,12/31/2023
90586,,,,145.833,10/1/2023,12/31/2023
90632,,,,70.078,10/1/2023,12/31/2023
90662,,,,73.403,10/1/2023,12/31/2023
90670,,,,257.989,10/1/2023,12/31/2023
90671,,,,246.195,10/1/2023,12/31/2023
90672,,,,27.788,10/1/2023,12/31/2023
90674,,,,34.172,10/1/2023,12/31/2023
90675,,,,328.549,10/1/2023,12/31/2023
90677,,,,288.664,10/1/2023,12/31/2023
90682,,,,73.403,10/1/2023,12/31/2023
90686,,,,22.350,10/1/2023,12/31/2023
90687,,,,10.439,10/1/2023,12/31/2023
90688,,,,20.878,10/1/2023,12/31/2023
90694,,,,77.359,10/1/2023,12/31/2023
90714,,,,28.645,10/1/2023,12/31/2023
90715,,,,38.671,10/1/2023,12/31/2023
90732,,,,133.472,10/1/2023,12/31/2023
90739,,,,160.284,10/1/2023,12/31/2023
90740,,,,152.124,10/1/2023,12/31/2023
90743,,,,73.847,10/1/2023,12/31/2023
90744,,,,29.895,10/1/2023,12/31/2023
90746,,,,70.376,10/1/2023,12/31/2023
90747,,,,140.752,10/1/2023,12/31/2023
90756,,,,32.374,10/1/2023,12/31/2023
90759,,,,73.815,10/1/2023,12/31/2023
91304,,,,148.200,10/1/2023,12/31/2023
91318,,,,65.360,10/1/2023,12/31/2023
91319,,,,87.780,10/1/2023,12/31/2023
91320,,,,131.100,10/1/2023,12/31/2023
91321,,,,145.920,10/1/2023,12/31/2023
91322,,,,145.920,10/1/2023,12/31/2023
A9575,,,,0.123,10/1/2023,12/31/2023
A9576,,,,1.403,10/1/2023,12/31/2023
A9577,,,,1.819,10/1/2023,12/31/2023
A9578,,,,1.821,10/1/2023,12/31/2023
A9579,,,,1.531,10/1/2023,12/31/2023
A9581,,,,14.750,10/1/2023,12/31/2023
A9585,,,,0.324,10/1/2023,12/31/2023
A9589,,,,1265.417,10/1/2023,12/31/2023
J0121,,,,3.604,10/1/2023,12/31/2023
J0122,,,,1.126,10/1/2023,12/31/2023
J0129,,,,42.700,10/1/2023,12/31/2023
J0131,,,,0.072,10/1/2023,12/31/2023
J0132,,,,0.653,10/1/2023,12/31/2023
J0133,,,,0.051,10/1/2023,12/31/2023
J0134,,,,0.051,10/1/2023,12/31/2023
J0136,,,,0.054,10/1/2023,12/31/2023
J0137,,,,0.067,10/1/2023,12/31/2023
J0153,,,,0.536,10/1/2023,12/31/2023
J0171,,,,0.780,10/1/2023,12/31/2023
J0172,,,,5.978,10/1/2023,12/31/2023
J0173,,,,1.706,10/1/2023,12/31/2023
J0174,,,,1.350,10/1/2023,12/31/2023
J0178,,,,868.241,10/1/2023,12/31/2023
J0179,,,,319.249,10/1/2023,12/31/2023
J0180,,,,217.597,10/1/2023,12/31/2023
J0185,,,,1.738,10/1/2023,12/31/2023
J0202,,,,2292.770,10/1/2023,12/31/2023
J0206,,,,5.634,10/1/2023,12/31/2023
J0218,,,,377.113,10/1/2023,12/31/2023
J0219,,,,75.632,10/1/2023,12/31/2023
J0221,,,,197.073,10/1/2023,12/31/2023
J0222,,,,100.171,10/1/2023,12/31/2023
J0223,,,,112.096,10/1/2023,12/31/2023
J0224,,,,319.496,10/1/2023,12/31/2023
J0225,,,,4950.374,10/1/2023,12/31/2023
J0248,,,,6.058,10/1/2023,12/31/2023
J0256,,,,4.806,10/1/2023,12/31/2023
J0257,,,,5.417,10/1/2023,12/31/2023
J0278,,,,0.935,10/1/2023,12/31/2023
J0280,,,,10.593,10/1/2023,12/31/2023
J0285,,,,24.620,10/1/2023,12/31/2023
J0289,,,,27.923,10/1/2023,12/31/2023
J0290,,,,0.945,10/1/2023,12/31/2023
J0291,,,,3.578,10/1/2023,12/31/2023
J0295,,,,2.048,10/1/2023,12/31/2023
J0348,,,,0.545,10/1/2023,12/31/2023
J0360,,,,5.758,10/1/2023,12/31/2023
J0401,,,,6.815,10/1/2023,12/31/2023
J0456,,,,1.787,10/1/2023,12/31/2023
J0457,,,,2.519,10/1/2023,12/31/2023
J0461,,,,0.088,10/1/2023,12/31/2023
J0475,,,,182.263,10/1/2023,12/31/2023
J0476,,,,46.921,10/1/2023,12/31/2023
J0480,,,,4393.541,10/1/2023,12/31/2023
J0485,,,,3.786,10/1/2023,12/31/2023
J0490,,,,51.970,10/1/2023,12/31/2023
J0491,,,,16.595,10/1/2023,12/31/2023
J0500,,,,21.800,10/1/2023,12/31/2023
J0515,,,,22.277,10/1/2023,12/31/2023
J0517,,,,170.559,10/1/2023,12/31/2023
J0558,,,,15.742,10/1/2023,12/31/2023
J0561,,,,20.157,10/1/2023,12/31/2023
J0565,,,,39.844,10/1/2023,12/31/2023
J0583,,,,0.186,10/1/2023,12/31/2023
J0584,,,,433.522,10/1/2023,12/31/2023
J0585,,,,6.325,10/1/2023,12/31/2023
J0586,,,,8.219,10/1/2023,12/31/2023
J0587,,,,13.042,10/1/2023,12/31/2023
J0588,,,,5.189,10/1/2023,12/31/2023
J0592,,,,4.180,10/1/2023,12/31/2023
J0594,,,,1.044,10/1/2023,12/31/2023
J0595,,,,2.543,10/1/2023,12/31/2023
J0596,,,,33.700,10/1/2023,12/31/2023
J0597,,,,64.406,10/1/2023,12/31/2023
J0598,,,,60.725,10/1/2023,12/31/2023
J0612,,,,0.051,10/1/2023,12/31/2023
J0613,,,,0.085,10/1/2023,12/31/2023
J0630,,,,1296.363,10/1/2023,12/31/2023
J0637,,,,5.500,10/1/2023,12/31/2023
J0638,,,,122.055,10/1/2023,12/31/2023
J0640,,,,4.461,10/1/2023,12/31/2023
J0642,,,,1.057,10/1/2023,12/31/2023
J0665,,,,0.016,10/1/2023,12/31/2023
J0670,,,,2.453,10/1/2023,12/31/2023
J0689,,,,1.208,10/1/2023,12/31/2023
J0690,,,,0.727,10/1/2023,12/31/2023
J0692,,,,1.270,10/1/2023,12/31/2023
J0694,,,,5.172,10/1/2023,12/31/2023
J0695,,,,7.481,10/1/2023,12/31/2023
J0696,,,,0.472,10/1/2023,12/31/2023
J0697,,,,1.868,10/1/2023,12/31/2023
J0699,,,,2.173,10/1/2023,12/31/2023
J0701,,,,5.688,10/1/2023,12/31/2023
J0702,,,,6.406,10/1/2023,12/31/2023
J0703,,,,5.092,10/1/2023,12/31/2023
J0712,,,,3.856,10/1/2023,12/31/2023
J0713,,,,1.779,10/1/2023,12/31/2023
J0714,,,,95.437,10/1/2023,12/31/2023
J0717,,,,4.900,10/1/2023,12/31/2023
J0725,,,,21.778,10/1/2023,12/31/2023
J0735,,,,19.585,10/1/2023,12/31/2023
J0736,,,,2.015,10/1/2023,12/31/2023
J0737,,,,2.594,10/1/2023,12/31/2023
J0740,,,,550.376,10/1/2023,12/31/2023
J0741,,,,22.286,10/1/2023,12/31/2023
J0742,,,,2.460,10/1/2023,12/31/2023
J0743,,,,7.925,10/1/2023,12/31/2023
J0744,,,,1.831,10/1/2023,12/31/2023
J0770,,,,13.878,10/1/2023,12/31/2023
J0775,,,,67.747,10/1/2023,12/31/2023
J0780,,,,2.848,10/1/2023,12/31/2023
J0791,,,,126.857,10/1/2023,12/31/2023
J0801,,,,4090.086,10/1/2023,12/31/2023
J0834,,,,32.681,10/1/2023,12/31/2023
J0840,,,,2076.463,10/1/2023,12/31/2023
J0841,,,,1113.511,10/1/2023,12/31/2023
J0850,,,,1667.586,10/1/2023,12/31/2023
J0875,,,,15.214,10/1/2023,12/31/2023
J0877,,,,0.064,10/1/2023,12/31/2023
J0878,,,,0.040,10/1/2023,12/31/2023
J0881,,,,2.945,10/1/2023,12/31/2023
J0882,,,,2.945,10/1/2023,12/31/2023
J0885,,,,7.092,10/1/2023,12/31/2023
J0887,,,,1.709,10/1/2023,12/31/2023
J0888,,,,1.710,10/1/2023,12/31/2023
J0891,,,,0.371,10/1/2023,12/31/2023
J0892,,,,0.371,10/1/2023,12/31/2023
J0893,,,,2.120,10/1/2023,12/31/2023
J0894,,,,1.147,10/1/2023,12/31/2023
J0895,,,,8.591,10/1/2023,12/31/2023
J0896,,,,39.205,10/1/2023,12/31/2023
J0897,,,,24.217,10/1/2023,12/31/2023
J1000,,,,32.669,10/1/2023,12/31/2023
J1020,,,,7.099,10/1/2023,12/31/2023
J1030,,,,7.202,10/1/2023,12/31/2023
J1040,,,,10.757,10/1/2023,12/31/2023
J1071,,,,0.029,10/1/2023,12/31/2023
J1100,,,,0.126,10/1/2023,12/31/2023
J1110,,,,46.517,10/1/2023,12/31/2023
J1120,,,,26.316,10/1/2023,12/31/2023
J1160,,,,11.357,10/1/2023,12/31/2023
J1162,,,,4593.574,10/1/2023,12/31/2023
J1165,,,,0.461,10/1/2023,12/31/2023
J1170,,,,4.023,10/1/2023,12/31/2023
J1190,,,,123.879,10/1/2023,12/31/2023
J1200,,,,0.846,10/1/2023,12/31/2023
J1201,,,,15.178,10/1/2023,12/31/2023
J1205,,,,76.733,10/1/2023,12/31/2023
J1212,,,,681.744,10/1/2023,12/31/2023
J1230,,,,17.516,10/1/2023,12/31/2023
J1240,,,,8.988,10/1/2023,12/31/2023
J1245,,,,3.688,10/1/2023,12/31/2023
J1250,,,,9.822,10/1/2023,12/31/2023
J1265,,,,0.630,10/1/2023,12/31/2023
J1270,,,,0.424,10/1/2023,12/31/2023
J1290,,,,532.245,10/1/2023,12/31/2023
J1300,,,,225.263,10/1/2023,12/31/2023
